,Unnamed: 0,post_id,time,text,reaction_count,label
0,0,616107793883102,2023-05-14 14:58:53,Alphabet soup can not make laws by changing definitions. #Constitution #2ndamendment #tyranny,33,0
1,1,561046706055878,2023-02-11 07:38:35,"YOUTUBE.COM Hotel clerk armed with handgun stops rifle-carrying robber, HPD says",67,0
2,2,4735616356497251,2022-01-09 08:25:39,We are at the a pivotal point in our nation's history. Which direction we go in is up to us. If we lose our autonomy gun rights will go with it. DEFEATTHEMANDATESDC.COM Defeat The Mandates DC: An American Homecoming,75,0
3,3,4501847276540828,2021-11-02 08:59:25,Young military officer says that Americans can become the enemy and the guns could be pointed at us! YOUTUBE.COM Nasty Feminazi threatens U.S. patriots with martial law! #SHORTS,40,0
4,4,4166238466768379,2021-07-16 06:26:30,"#2A #constitutionalcarry #concealedcarry #vetooveride contact your state representatives state senators! Ask them to override the JBE Vetos. This includes constitutional carry, medical freedom bills, ban men from women's sports & more YOUTUBE.COM UPDATE on Louisiana Constitutional Carry",47,0
5,6,3788131451245751,2021-03-07 11:34:56,Please join us in supporting constitutional carry in Louisiana #2A NAGR.ORG Support Constintutional Carry In Louisiana!,46,0
6,7,3758671797525050,2021-02-25 09:01:27,Contact your representatives and all committee members! #2A #Louisiana #theconstitutionismypermit YOUTUBE.COM Louisiana's new constitutional carry bill,47,0
7,8,3746258672099696,2021-02-22 07:34:24,Should we be doing business with companies who are actively trying to undermine our rights? #2A TOWNHALL.COM These Are the Roughly 200 Businesses Whose Leaders Are Backing Gun Control Initiatives,87,0
8,9,3687830497942514,2021-01-30 07:52:40,The democrats are coming for your gun rights! Here is a firearm and ammunition registration bill by Sheila Jackson Lee! #2A CONGRESS.GOV Text - H.R.127 - 117th Congress (2021-2022): Sabika Sheikh Firearm Licensing and Registration Act,52,0
9,10,3339191726139728,2020-09-24 08:14:07,9 year old suspended for possession of bb gun in own bedroom during virtual class. #louisiana WDSU.COM WDSU Investigates: 9-year-old Jefferson Parish virtual student suspended for on-campus weapons violation,110,0
10,11,3248188608573374,2020-08-26 20:06:30,#Gunvote #2A DAILYCALLER.COM DNC Formalizes Their Disdain For The Second Amendment,61,0
11,12,3141360065922896,2020-07-21 21:18:36,"Just another massacre in the gun control Capitol of the nation. Nothing to see here..... Move along. FOXNEWS.COM Chicago shooting wounds at least 9 on South Side, police say",41,0
12,13,3083573028368267,2020-06-30 15:08:20,"By now I think we’ve all seen the video of the man in the pink polo and his wife who has no clue what trigger discipline means. That being said, if this is true, their actions would be justified. However, I think we can all agree that the they’re SEVERELY (especially the wife) lacking in the training department. YOUTUBE.COM Interview with man who pulled out gun amid protest",52,0
13,14,3065574213501482,2020-06-23 20:00:28,Just so you know.....,88,0
