,Unnamed: 0,post_id,time,text,reaction_count,label
0,0,686912306806409,2023-07-29 08:10:33,AGAIN. A two-year-old child is dead after her 14-year-old cousin accessed an unsecured firearm at a Philadelphia home and discharged it—a bullet struck the toddler in the head. 6ABC.COM 2-year-old girl dies after being shot by teen inside Philadelphia home,124,1
1,1,686484893515817,2023-07-28 15:26:28,"According to newly-released provisional data from the CDC, “gun suicides reached an all-time high in the US in 2022 and, and the gun suicide rate among Black teens surpassed that of white teens for the first time on record.” Take a moment this weekend to learn more about what experts believe could be behind this alarming increase. USATODAY.COM 'A hidden epidemic': Gun suicides reached an all-time high in the US in 2022",73,1
2,2,686320760198897,2023-07-28 09:57:41,"AGAIN: Police in Kentucky say 12-year-old Malachi Hagan Moses died at a friend’s house after the boys accessed a gun in the home and discharged it. No word on who the gun belonged to or how the boys accessed it. WKYT.COM Investigation underway after Laurel Co. boy dies from gunshot wound, officials say",104,1
3,3,685850630245910,2023-07-27 15:16:32,"NEW: Everytown for Gun Safety just endorsed 46 more of our volunteers who are running for office this year! Voters demand candidates who will fight for gun safety, and there are no stronger fighters than our volunteers. Now, let's work to get them elected! GUNSENSEVOTER.ORG 2023 Endorsed Candidates - Gun Sense Voter",127,1
4,4,685765233587783,2023-07-27 12:00:07,HEARTBREAKING: Nine-year-old Harwinder “Harry” Singh was shot and killed as he sat in the backseat of a car parked at a Milwaukee strip mall. Family members said Harry was three days away from celebrating his 10th birthday. Firearms are the leading killer of children and teens in the US. We should all be outraged and ashamed they are dying in this senseless and preventable way.,336,1
5,5,685321656965474,2023-07-26 19:00:00,"“I’m paralyzed from a gunshot wound and have been a disabled wheelchair user for 32 years. I will always advocate for people with physical and developmental disabilities and raise awareness of our needs and the needs of our caretakers. I am very proud of my work to construct sidewalks in our neighborhood with our local department of transportation. We no longer have to wheel into the streets. If I can save one life from injury and the journey I have endured, I will know my fight was worth every second of this difficult journey.” - Margaret Long, Moms Demand Action - OH volunteer & Ms. Wheelchair Ohio USA 2023 This Disability Pride Month, join us in honoring survivors like Margaret who do important work in their communities to make them safer.",241,1
6,6,685139833650323,2023-07-26 10:16:13,"Camdyn Rider, a 21-year-old trans man who was eight months pregnant, was shot and killed by his fiancé, who then fatally shot himself on July 21 in Polk County, Florida. This tragedy reminds us of the incredibly dangerous relationship between guns, intimate partner violence, and the transgender community. We must demand our lawmakers pass legislation to prevent gun violence that disproportionately impacts the transgender community. HUFFPOST.COM A Pregnant Trans Man Was Excited Over His Unborn Child. His Fiancé Killed Them.",60,1
7,7,684719560359017,2023-07-25 19:00:00,"For years after Pam Schlomann was held at gunpoint and sexually assaulted, she felt like a victim and “carried all that shame inside.” But after connecting with other survivors of gun violence, Pam says she now feels empowered to share her story and use it to effect change on this critical issue. “Now I can call myself a survivor,” she said. Honor Pam—and all survivors of gun violence who bravely share their stories to put a face on this crisis—by sharing her story: momentsthatsurvive.org/tribute/pam-2",526,1
8,8,684614960369477,2023-07-25 11:42:03,"AGAIN. Four-year-old Keith Jermal Jones Jr. unintentionally shot and killed himself after being left unattended with an unsecured, loaded gun in a New Orleans home. Secure gun storage saves young lives. Keith should be here today. WWLTV.COM Police: 4-year-old who shot himself was left in bedroom with loaded gun reported stolen",171,1
9,9,684058243758482,2023-07-24 12:54:37,America is exceptional in many ways. Surging acts of mass gun violence should not be one of them. Text READY to 644-33 if you’re ready to do something about it. ABCNEWS.GO.COM US surpasses 400 mass shootings so far in 2023: National gun violence website,83,1
10,10,682338027263837,2023-07-23 19:00:00,"“When these funds get disseminated the right way to where it’s needed, it’s gonna help. Is it the solution to any and all school violence? Hell no. Is it a step solid in the right direction? Hell yes.” - Matthew McConaughey Matthew McConaughey has launched a new initiative to help smaller school districts across the country access school safety funding from the Bipartisan Safer Communities Act. POLITICO.COM Matthew McConaughey has another demand of Washington on gun safety",653,1
11,11,678004241030549,2023-07-23 09:00:01,"On this day eight years ago, two women were killed and nine more people were wounded when a gunman opened fire in a Lafayette, Louisiana movie theater. We hold the victims and survivors in our hearts as we act in their honor.",275,1
12,12,681745310656442,2023-07-22 20:00:01,"An 11-year-old girl was shot and wounded by stray gunfire in Philadelphia. Each year, around 15,000 children and teens are shot and wounded. Our children should not have to worry about dodging bullets. They deserve to grow up feeling safe. NBCPHILADELPHIA.COM Girl, 11, struck by stray bullet as dozens of shots are fired in West Philly",85,1
13,13,678082781022695,2023-07-22 09:00:00,"In May, over 800 of our volunteers and other gun safety advocates traveled from across Illinois to rally against gun violence in Springfield. Just two days later, lawmakers took action on gun safety legislation. Take a moment to learn what it’s like to successfully advocate for life-saving gun laws. MOMSDEMANDACTION.ORG Behind the Scenes at Illinois’ 2023 Advocacy Day",214,1
14,14,678026964361610,2023-07-21 09:00:01,"Evelia Krzysik is painfully aware of the danger of unsecured guns to children and teens. Since the unintentional shooting death of her 13-year-old son, Hunter, by a friend, Evelia now works to educate others about the importance of secure gun storage—keeping guns locked, unloaded and stored separately from ammunition. As children and teens spend more time at home during the summer months, it’s critical for gun owners to help keep them safe by securing guns in homes and vehicles. You can help Evelia spread the word about the dangers of unsecured guns by sharing her Moments That Survive story: momentsthatsurvive.org/tribute/hunter-j-krzysik",377,1
15,15,681778107319829,2023-07-20 15:54:30,"We won't let up until lawmakers enact the will of Americans by passing strong gun safety laws. Lives are on the line. BOSTONGLOBE.COM Impasse over gun safety bill latest symptom of Legislature infighting - The Boston Globe Moms Demand Action - MA July 20 at 10:34 AM · “We need our lawmakers to come together, recognize the urgency of addressing our gun violence crisis and swiftly fulfill their public commitment to passing a strong bill. The sooner that happens the more lives we save.” - Jennifer Robinson, volunteer with the Massachusetts chapter of Moms Demand Action.",90,1
16,16,677996121031361,2023-07-20 09:00:02,"On this day in 2012, 12 people were killed and dozens more were wounded when a heavily armed gunman entered the Century 16 movie theater in Aurora, Colorado, and opened fire. Eleven years later, we continue to hold those whose lives were taken or forever changed in our hearts as we fight for a future free from gun violence.",445,1
17,17,678072347690405,2023-07-19 09:00:01,"Secure gun storage is important year-round but, as children and teens spend more time at home during the summer months, it is critical to secure guns where children are present. With heartbreaking regularity, leaving guns accessible ends in tragedy. This summer, and year-round, Be SMART for Kids: Ensure guns are always inaccessible to children and teens and, when possible, stored unloaded and separate from ammunition. Learn more: besmartforkids.org",212,1
18,18,680357007461939,2023-07-18 19:00:04,"Six-year-old Onyx may never walk again after she was shot in the back during a road rage incident last week in Louisville, KY. “She’s a perfect little kid, and these people have robbed my baby of the simple things we all get to enjoy.” - Onyx’s mother Incidents of road rage don’t have to be deadly, but our nation’s gun crisis means they are. Our children deserve better. WKYT.COM Girl, 6, shot in road rage incident may never walk again, family says",158,1
19,19,678055851025388,2023-07-18 09:00:01,"While working to pass gun safety laws is critical, on any given day, our volunteers can be found out and about in their communities, beautifying neighborhoods, donating to shelters, making lunches for partners, and working in a variety of other ways to make our communities safer. Find a way to get involved in your area by texting READY to 644-33!",310,1
20,20,679798670851106,2023-07-17 11:51:17,"With Everytown for Gun Safety Victory Fund’s #DemandASeat program, we’re building the next generation of elected leaders who are committed to ending gun violence in our communities at every level of government—and we are already making an impact. Last election cycle, our volunteers helped flip state legislatures to Gun Sense Majorities, clearing a path for gun safety legislation to advance and become law. At the local level, our volunteers ran for school board, city council, mayor, among other offices—and won! If you’re a volunteer who is ready to take your advocacy to the next level by running for office, or if you simply want to help fellow volunteers get elected, apply for our fall #DemandASeat program: demandaseat.org",140,1
21,21,678583730972600,2023-07-16 19:00:03,"Bringing new voices into the movement to end gun violence is one of the most powerful ways to make an impact, and communicating with your networks and on social media is an easy way to do that. Help spread the word by joining Moms Demand Action volunteers and supporters across the country on the #MomsAreEverywhere Grassroots Social Media Team!",116,1
22,22,678575260973447,2023-07-16 09:00:01,"Because of your unrelenting advocacy, last year, President Biden signed the first major gun safety bill in nearly 30 years into law. Take a moment this weekend to learn more about how the Bipartisan Safer Communities Act is already saving lives. EVERYTOWN.ORG How the Bipartisan Safer Communities Act is Already Saving Lives",266,1
23,23,678568790974094,2023-07-15 20:00:01,"There have been more mass shootings this year in the US than any other year, and it’s only July. This isn’t a record we should be breaking. Use our tool to send a message to your US rep telling them to take action now to help end gun violence in America. ACT.EVERYTOWN.ORG Tell Your U.S. Rep.: Ban Assault Weapons",75,1
24,24,678546590976314,2023-07-15 09:43:43,"What does it say about our country when children can’t go to the park without the threat of being shot? We are failing them by allowing this scourge to continue. CNN.COM Two brothers, aged 3 and 6, are among 4 people wounded by a shooter on a scooter at a crowded New York park, police say | CNN",96,1
25,25,677978384366468,2023-07-14 19:00:01,"Windi Joseph’s 20-year-old son, Jojo, was a college student with plans of serving in the Marine Corps when he was senselessly shot and killed. Her pain was compounded by the fact that she was unable to get to Jojo as he succumbed to his injuries. In Jojo’s honor, Windi founded Pray4theprey827—an effort to educate others on how gun violence affects families. You can help by sharing Windi’s Moments That Survive story: momentsthatsurvive.org/tribute/windi-joseph",234,1
26,26,677827697714870,2023-07-14 07:10:22,Join the movement to end gun violence. Text READY to 644-33.,114,1
27,27,677505831080390,2023-07-13 19:00:01,"MUST READ: Everytown for Gun Safety Senior Director of Research Sarah Burd-Sharps calls out a gun industry-backed researcher for distorting CDC data and downplaying the deadly impact of guns on children and teens, which are indisputably the leading cause of death for this demographic. REALCLEARPOLITICS.COM Gun Rights Advocates Ignore Data on Children's Deaths | RealClearPolitics",74,1
28,28,677331447764495,2023-07-13 10:48:32,"We’re so excited to announce that gun sense champion Vice President Kamala Harris will be joining our annual training summit, Gun Sense University, in August to help us celebrate ten years of Moms Demand Action and to talk about the work ahead! Vice President Harris has helped lead the strongest gun safety administration in American history. We are thrilled to chart our next ten years of activism with gun sense champions like Vice President Harris by our side.",657,1
29,29,676946154469691,2023-07-12 19:00:00,"Incidents of road rage continue to escalate into gun violence on America’s roadways, leaving a trail of devastation across the country. In Houston, TX, a man shot into a woman’s vehicle after a short delay at a light, wounding her 7-year-old daughter. In Louisville, KY, a group of motorcyclists fired at a vehicle multiple times during a road rage incident, wounding a 6-year-old girl. In Hurst, TX, 37-year-old Paola Nunez Linares was shot in the head and killed during a road rage incident. Her husband said he once told her he believed she'd be safer in North Texas than in her native Guatemala. In Fort Worth, TX, a man was wounded when another driver opened fire on his vehicle on an…",219,1
30,30,676821164482190,2023-07-12 11:56:02,"Nine-year-old Da'Myiah Pickens-Barton—a leader on her cheerleading team whose energy was contagious—is now among countless children in this country whose lives have been cut short by gun violence. Another future, full of promise, stolen by this preventable crisis. WLWT.COM Child killed in drive-by shooting remembered for her leadership, enthusiasm",204,1
31,31,676180554546251,2023-07-11 09:57:51,"Over half of America’s nearly 78,000 licensed gun dealers are in residential areas; one in five public elementary schools are within just a half a mile of a dealer. Use Everytown for Gun Safety’s interactive map to find out if there are gun dealers near your neighborhood EVERYTOWNRESEARCH.ORG Inside the Gun Shop: Firearms Dealers and Their Impact",51,1
32,32,675754397922200,2023-07-10 19:00:01,"“This isn’t a natural disaster,” our executive director, Angela Ferrell-Zabala, said about our nation’s gun violence crisis on MSNBC’s Katie Phang Show. Take a moment to hear more from Angela about why elections matter and what our leaders can be doing to prevent gun violence in our communities. MSNBC.COM America on track for record year in mass shootings",135,1
33,33,675672864597020,2023-07-10 12:33:07,"Just one week after a gunman shot people at random in a Philadelphia neighborhood, a man on a scooter fired randomly at cars and pedestrians throughout New York City, killing an 87-year-old man and wounding three other people. Early Sunday morning, Semagea D. Smith, 32, and Dequincton T. Taylor, 28, were shot and killed and five others were wounded when a fight at a party escalated to gunfire in Amarillo, Texas. Acts of mass gun violence also devastated communities in El Paso, Texas and Cleveland, Ohio this weekend, where at least 17 people were shot and wounded. APNEWS.COM A gunman on a scooter shoots randomly in NYC, killing an 87-year-old and wounding 3 others, police say",134,1
